"dgp","method","bias","rmse","coverage_95","mean_ci_width","pct_nonempty"
"dgp1","fold_specific",0.0022,0.0513,0.86,0.1522,1
"dgp1","oracle",-0.001,0.0375,0.94,0.1455,1
"dgp1","rashomon",0.0021,0.0511,0.87,0.1519,1
"dgp2","fold_specific",0.0049,0.0477,0.8675,0.1411,1
"dgp2","oracle",0.0026,0.034,0.95,0.1344,1
"dgp2","rashomon",0.0123,0.0509,0.8475,0.1446,1
"dgp3","fold_specific",0.0036,0.047,0.8525,0.1335,1
"dgp3","oracle",3e-04,0.0307,0.96,0.1265,1
"dgp3","rashomon",0.0068,0.0483,0.8475,0.1349,1
"dgp4","fold_specific",0.01,0.0657,0.8075,0.1589,1
"dgp4","oracle",0.0035,0.0373,0.945,0.1436,1
"dgp4","rashomon",0.0625,0.1227,0.535,0.1786,1
